"","2022-12-2021-12","2021-10-2022-12"
"Annualized Returns",,
"2021-10-10_to_2022-12-01_Index_3QRank","-76.659","-63.746"
"2021-10-10_to_2022-12-01_Crypto10_Index","-85.498","-82.534"
"Volatility",,
"2021-10-10_to_2022-12-01_Index_3QRank","82.38","77.29"
"2021-10-10_to_2022-12-01_Crypto10_Index","84.65","78.77"
"Tracking Error",,
"2021-10-10_to_2022-12-01_Index_3QRank","46.42","44.29"
"2021-10-10_to_2022-12-01_Crypto10_Index","-","-"
"Information Ratio",,
"2021-10-10_to_2022-12-01_Index_3QRank","0.19","0.42"
"2021-10-10_to_2022-12-01_Crypto10_Index","-","-"
"Alpha Stat",,
"2021-10-10_to_2022-12-01_Index_3QRank","0.77","2.24"
"2021-10-10_to_2022-12-01_Crypto10_Index","-","-"
"Beta Stat",,
"2021-10-10_to_2022-12-01_Index_3QRank","0.82","0.82"
"2021-10-10_to_2022-12-01_Crypto10_Index","-","-"
"R-Squared",,
"2021-10-10_to_2022-12-01_Index_3QRank","68.39","67.72"
"2021-10-10_to_2022-12-01_Crypto10_Index","-","-"
"Max Drawdown",,
"2021-10-10_to_2022-12-01_Index_3QRank","-81.8481","-82.6859"
"2021-10-10_to_2022-12-01_Crypto10_Index","-85.948","-87.4863"
